image_tile_id,Weather,Hour_of_Day,Season,off_nadir_max,avg_pan_resolution,biome,CONTROL
84_1040010049B46C00_tile_202,Cloud Cover or Haze,12.18333333,Spring,28.06292,0.3776905,Flooded Grasslands & Savannas,3
67_104001003F0B3200_tile_679,Clear Skies,12.93333333,Summer,19.613453,0.3421295,Deserts & Xeric Shrublands,3
130_104001002E47CD00_tile_1090,Cloud Cover or Haze,12.03333333,Summer,29.135172,0.38891,"Temperate Grasslands, Savannas & Shrublands",3
57_10400100379F8200_tile_137,Cloud Cover or Haze,11.26666667,Winter,27.641428,0.377411,"Temperate Grasslands, Savannas & Shrublands",3
109_10400100168E2A00_tile_33,Clear Skies,11.58333333,Winter,23.903067,0.357787,"Temperate Grasslands, Savannas & Shrublands",1
9_10400100310B0100_tile_140,Clear Skies,13.15,Summer,27.344479,0.3760315,Temperate Broadleaf & Mixed Forests,3
124_104001001F2A5700_tile_212,Clear Skies,12.11666667,Summer,9.987,0.3173755,Temperate Conifer Forests,2
42_10400100055EA300_tile_1392,Cloud Cover or Haze,11.45,Winter,25.167149,0.363917,Temperate Broadleaf & Mixed Forests,1
66_104001003BA94300_tile_52,Clear Skies,11.48333333,Spring,21.57067,0.338675,Deserts & Xeric Shrublands,2
84_1040010049B46C00_tile_228,Cloud Cover or Haze,12.18333333,Spring,28.06292,0.3776905,Flooded Grasslands & Savannas,3
128_1040010032BA9100_tile_1487,Clear Skies,12.2,Autumn,20.564857,0.3473665,"Temperate Grasslands, Savannas & Shrublands",2
126_104001000C4AEE00_tile_1325,Clear Skies,10.58333333,Summer,20.036402,0.342431,Temperate Broadleaf & Mixed Forests,3
76_104001004941CB00_tile_147,Clear Skies,12.38333333,Spring,21.914402,0.3523435,Temperate Broadleaf & Mixed Forests,2
54_10400100061AF700_tile_744,Clear Skies,10.81666667,Winter,25.572586,0.364317,Flooded Grasslands & Savannas,1
127_104001002B3BB400_tile_472,Clear Skies,11.38333333,Spring,8.418627,0.313654,Mangroves,1
69_104005000CDBE200_tile_2563,Clear Skies,13.23333333,Autumn,17.414585,0.336675,Temperate Broadleaf & Mixed Forests,1
100_1040010046CD1500_tile_236,Clear Skies,11.73333333,Winter,20.87677,0.345266,"Temperate Grasslands, Savannas & Shrublands",2
59_104001002E3F7500_tile_923,Clear Skies,10.28333333,Winter,27.887543,0.3859035,Tropical & Subtropical Moist Broadleaf Forests,3
33_104001002C49CF00_tile_39,Clear Skies,12.86666667,Spring,12.870912,0.3220055,Temperate Broadleaf & Mixed Forests,2
127_1040010022BC3B00_tile_464,Clear Skies,11.23333333,Autumn,26.010584,0.3563595,Mangroves,2
126_104001000C4AEE00_tile_1862,Clear Skies,10.58333333,Summer,20.036402,0.342431,Temperate Broadleaf & Mixed Forests,3
84_1040010049B46C00_tile_265,Cloud Cover or Haze,12.18333333,Spring,28.06292,0.3776905,Flooded Grasslands & Savannas,3
26_104001002E574100_tile_1604,Cloud Cover or Haze,12.73333333,Summer,8.153548,0.316306,Temperate Broadleaf & Mixed Forests,1
50_10400100350A5200_tile_166,Clear Skies,11.08333333,Winter,19.278543,0.3384395,Temperate Broadleaf & Mixed Forests,2
78_10400100351F9900_tile_101,Cloud Cover or Haze,12.78333333,Autumn,29.020765,0.389398,"Temperate Grasslands, Savannas & Shrublands",2
60_1040010046430200_tile_105,Clear Skies,11.65,Winter,16.53186,0.3315465,Deserts & Xeric Shrublands,2
88_1040010040D29200_tile_274,Clear Skies,14.98333333,Summer,9.566865,0.319302,Tundra,3
54_104001003D4C9C00_tile_568,Cloud Cover or Haze,12.58333333,Summer,23.286707,0.352216,Flooded Grasslands & Savannas,3
69_104005000CDBE200_tile_3164,Clear Skies,13.23333333,Autumn,17.414585,0.336675,Temperate Broadleaf & Mixed Forests,1
85_104001003A13C600_tile_30,Clear Skies,12.21666667,Spring,10.490244,0.316434,"Temperate Grasslands, Savannas & Shrublands",1
128_104001004215BF00_tile_1713,Clear Skies,12.36666667,Autumn,20.199026,0.345664,"Temperate Grasslands, Savannas & Shrublands",3
55_1040010048841900_tile_702,Clear Skies,10.98333333,Winter,26.972872,0.3745925,"Tropical & Subtropical Grasslands, Savannas & Shrublands",2
23_104001002E8B7900_tile_2154,Clear Skies,12.63333333,Summer,16.324696,0.329834,"Mediterranean Forests, Woodlands & Scrub",1
9_10400100474E7400_tile_132,Clear Skies,12.48333333,Winter,25.307737,0.368583,Temperate Broadleaf & Mixed Forests,1
66_104001002227AF00_tile_77,Clear Skies,11.45,Autumn,18.829895,0.328773,Deserts & Xeric Shrublands,3
66_1040010037570000_tile_63,Clear Skies,11.76666667,Winter,26.438148,0.3700475,Deserts & Xeric Shrublands,1
106_10400100290F5300_tile_70,Clear Skies,11.2,Winter,28.868103,0.385596,Flooded Grasslands & Savannas,2
84_1040010006ABC200_tile_111,Clear Skies,10.81666667,Winter,27.282673,0.375557,Flooded Grasslands & Savannas,2
108_1040010043890900_tile_38,Clear Skies,12.5,Autumn,17.182943,0.3322295,Flooded Grasslands & Savannas,1
54_1040010042D13B00_tile_419,Cloud Cover or Haze,12.31666667,Autumn,26.109623,0.36873,Flooded Grasslands & Savannas,2
51_10400100061AF700_tile_286,Clear Skies,10.81666667,Winter,25.572586,0.364317,Flooded Grasslands & Savannas,3
128_104001004215BF00_tile_1678,Clear Skies,12.36666667,Autumn,20.199026,0.345664,"Temperate Grasslands, Savannas & Shrublands",3
105_104001003108D900_tile_51,Clear Skies,13.28333333,Summer,17.686306,0.338057,Boreal Forests/Taiga,3
20_10400100119D4500_tile_208,Clear Skies,12.6,Autumn,13.773363,0.3255845,Temperate Broadleaf & Mixed Forests,3
84_1040010049B46C00_tile_126,Cloud Cover or Haze,12.18333333,Spring,28.06292,0.3776905,Flooded Grasslands & Savannas,3
127_1040010022BC3B00_tile_516,Clear Skies,11.23333333,Autumn,26.010584,0.3563595,Mangroves,2
118_10400100213D3100_tile_1065,Cloud Cover or Haze,12.05,Autumn,16.53047,0.331491,"Temperate Grasslands, Savannas & Shrublands",2
1_104005000FDC8D00_tile_90,Clear Skies,10.75,Winter,28.295317,0.3765895,"Mediterranean Forests, Woodlands & Scrub",3
93_104001000493AA00_tile_1592,Clear Skies,11.58333333,Autumn,22.335035,0.349198,Temperate Broadleaf & Mixed Forests,2
54_104001003D4C9C00_tile_194,Cloud Cover or Haze,12.58333333,Summer,23.286707,0.352216,Flooded Grasslands & Savannas,3
18_1040050010DC4900_tile_1761,Clear Skies,12.11666667,Winter,25.62631,0.365993,Temperate Broadleaf & Mixed Forests,1
96_10400100096C2500_tile_214,Snow,13.93333333,Spring,27.446131,0.382692,Boreal Forests/Taiga,3
113_1040010006ABC200_tile_59,Clear Skies,10.81666667,Winter,27.282673,0.375557,Flooded Grasslands & Savannas,1
15_104005000DDC3800_tile_66,Clear Skies,12.83333333,Autumn,25.794243,0.3725395,Temperate Broadleaf & Mixed Forests,2
67_104001003F0B3200_tile_490,Clear Skies,12.93333333,Summer,19.613453,0.3421295,Deserts & Xeric Shrublands,3
59_104001001DC7F200_tile_627,Clear Skies,10.26666667,Autumn,24.725229,0.3679665,Tropical & Subtropical Moist Broadleaf Forests,3
54_1040010024086400_tile_590,Cloud Cover or Haze,11.33333333,Autumn,22.079554,0.3504075,Flooded Grasslands & Savannas,1
45_1040010044AFF200_tile_24,Clear Skies,12.35,Autumn,9.989432,0.3168075,Temperate Broadleaf & Mixed Forests,3
6_1040010009874E00_tile_256,Cloud Cover or Haze,12.63333333,Spring,25.4655,0.366424,Temperate Broadleaf & Mixed Forests,2
98_104001000B9F7B00_tile_108,Clear Skies,12.06666667,Spring,10.155017,0.316172,"Temperate Grasslands, Savannas & Shrublands",2
5_104001000156CC00_tile_244,Clear Skies,11.78333333,Summer,18.890572,0.339533,Mangroves,1
120_1040010044D1B900_tile_30,Snow,13.61666667,Autumn,24.48224,0.3671705,Boreal Forests/Taiga,2
77_1040010040119E00_tile_664,Clear Skies,12.65,Summer,26.910341,0.3770965,Temperate Broadleaf & Mixed Forests,3
4_10400100101BE000_tile_826,Clear Skies,12.61666667,Autumn,28.466599,0.3846065,Temperate Conifer Forests,2
96_104001000896F900_tile_394,Snow,12.26666667,Spring,25.172054,0.372064,Boreal Forests/Taiga,2
96_10400100096C2500_tile_830,Snow,13.93333333,Spring,27.446131,0.382692,Boreal Forests/Taiga,3
56_104001000F345100_tile_136,Clear Skies,12.06666667,Summer,18.447948,0.324255,"Temperate Grasslands, Savannas & Shrublands",3
25_1040010017165100_tile_363,Clear Skies,11,Summer,22.619385,0.3547395,Tropical & Subtropical Moist Broadleaf Forests,1
115_104001004B8E2D00_tile_262,Clear Skies,11.96666667,Spring,14.023621,0.3185075,Temperate Broadleaf & Mixed Forests,1
99_104001001A4EEC00_tile_82,Clear Skies,12.26666667,Spring,28.33725,0.3859035,Temperate Broadleaf & Mixed Forests,3
111_1040010028163500_tile_573,Clear Skies,11.28333333,Spring,9.674176,0.316015,Deserts & Xeric Shrublands,3
96_10400100096C2500_tile_848,Snow,13.93333333,Spring,27.446131,0.382692,Boreal Forests/Taiga,3
86_1040010043890900_tile_322,Cloud Cover or Haze,12.5,Autumn,17.182943,0.3322295,Flooded Grasslands & Savannas,3
128_1040010032BA9100_tile_1787,Clear Skies,12.2,Autumn,20.564857,0.3473665,"Temperate Grasslands, Savannas & Shrublands",2
31_10400100443CFD00_tile_849,Clear Skies,11.73333333,Autumn,23.924757,0.360799,Tropical & Subtropical Moist Broadleaf Forests,3
69_104005000CDBE200_tile_3265,Clear Skies,13.23333333,Autumn,17.414585,0.336675,Temperate Broadleaf & Mixed Forests,1
67_104001003F0B3200_tile_292,Clear Skies,12.93333333,Summer,19.613453,0.3421295,Deserts & Xeric Shrublands,3
83_1040010032B86F00_tile_132,Cloud Cover or Haze,12.01666667,Summer,26.898964,0.372226,Temperate Broadleaf & Mixed Forests,1
18_1040050010DC4900_tile_3269,Clear Skies,12.11666667,Winter,25.62631,0.365993,Temperate Broadleaf & Mixed Forests,1
127_1040010022BC3B00_tile_589,Clear Skies,11.23333333,Autumn,26.010584,0.3563595,Mangroves,2
92_10400100447EE500_tile_428,Clear Skies,12.41666667,Autumn,27.977375,0.3846645,"Mediterranean Forests, Woodlands & Scrub",1
18_10400100211BDD00_tile_3646,Clear Skies,12.78333333,Autumn,10.872156,0.320573,Temperate Broadleaf & Mixed Forests,3
106_1040010043890900_tile_47,Cloud Cover or Haze,12.5,Autumn,17.182943,0.3322295,Flooded Grasslands & Savannas,1
18_1040050010DC4900_tile_2081,Clear Skies,12.11666667,Winter,25.62631,0.365993,Temperate Broadleaf & Mixed Forests,1
77_1040010040119E00_tile_663,Clear Skies,12.65,Summer,26.910341,0.3770965,Temperate Broadleaf & Mixed Forests,3
18_10400100211BDD00_tile_3437,Clear Skies,12.78333333,Autumn,10.872156,0.320573,Temperate Broadleaf & Mixed Forests,3
42_10400100055EA300_tile_662,Cloud Cover or Haze,11.45,Winter,25.167149,0.363917,Temperate Broadleaf & Mixed Forests,1
93_104001002A4FAA00_tile_1202,Clear Skies,11.93333333,Spring,26.912125,0.373755,Temperate Broadleaf & Mixed Forests,3
1_104005000FDC8D00_tile_40,Clear Skies,10.75,Winter,28.295317,0.3765895,"Mediterranean Forests, Woodlands & Scrub",3
117_104001000F945200_tile_218,Clear Skies,14.48333333,Summer,24.38106,0.3663905,Boreal Forests/Taiga,3
37_104001000EA43C00_tile_232,Clear Skies,12.03333333,Summer,23.065435,0.3583105,Temperate Broadleaf & Mixed Forests,1
18_10400100211BDD00_tile_3335,Clear Skies,12.78333333,Autumn,10.872156,0.320573,Temperate Broadleaf & Mixed Forests,3
60_1040010046430200_tile_276,Clear Skies,11.65,Winter,16.53186,0.3315465,Deserts & Xeric Shrublands,2
26_1040010011C6F000_tile_1683,Clear Skies,12.45,Autumn,22.694019,0.357694,Temperate Broadleaf & Mixed Forests,2
26_104001001CD3B900_tile_1572,Clear Skies,12.61666667,Spring,23.381859,0.3366125,Temperate Broadleaf & Mixed Forests,3
18_10400100211BDD00_tile_4385,Clear Skies,12.78333333,Autumn,10.872156,0.320573,Temperate Broadleaf & Mixed Forests,3
2_104001003B4B5900_tile_16,Clear Skies,12.85,Spring,28.461687,0.386083,Temperate Broadleaf & Mixed Forests,1
69_104005000CDBE200_tile_1852,Clear Skies,13.23333333,Autumn,17.414585,0.336675,Temperate Broadleaf & Mixed Forests,1
67_104001003F0B3200_tile_1394,Clear Skies,12.93333333,Summer,19.613453,0.3421295,Deserts & Xeric Shrublands,3
45_104001000E6AB500_tile_24,Clear Skies,12.11666667,Summer,12.681813,0.322767,Temperate Broadleaf & Mixed Forests,3